Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
1681f325-b0d4-4b64-8b70-a959fb59187b,Teclado,1,2930.64,2025-03-23 17:34:16,"0527 Luke Port, São Paulo"
c2d6baee-72ae-4f77-9836-6dba5fe7048e,Headset,5,305.44,2025-05-12 18:45:44,"53682 Gray Fields, São Paulo"
c2a2ef22-2953-4aea-9aeb-275361152f2c,Teclado,4,526.47,2025-05-04 21:33:00,"4950 Duncan Passage Suite 450, São Paulo"
79eb391d-0df8-43e1-8df6-616b03b64ee5,Webcam,5,2791.0,2025-04-17 18:00:06,"25825 Jordan Rapid, Curitiba"
dc160f56-46ea-4d31-a33b-fc61340c2b06,Headset,4,2236.22,2025-03-18 21:56:10,"291 Tracy Ferry Suite 321, Curitiba"
70e3f7b8-8653-4499-9e45-d6ced75cce5e,Teclado,3,1461.29,2025-05-17 09:57:20,"1002 Hunt Spring, São Paulo"
196e1023-7b87-410a-89dc-145093da3613,Teclado,2,2617.25,2025-03-16 19:14:59,"0803 Wallace Point Apt. 999, Belo Horizonte"
159ec999-4e3d-4a3e-a783-0e6ea1a8fe39,Mouse,2,1779.44,2025-01-03 11:12:18,"12552 Wright Divide Suite 664, Porto Alegre"
5fddcc6e-32d8-4753-a042-fba9dccca521,Monitor,1,2045.15,2025-03-23 07:38:18,"4690 Cruz Green, Rio de Janeiro"
346707b4-804c-468a-bc42-f63741150aef,Mouse,3,480.3,2025-01-18 20:50:32,"4895 Richard Curve Apt. 422, Belo Horizonte"
101166bd-58d8-4746-9e1e-5ebbaabc7010,Cadeira Gamer,1,3323.48,2025-05-02 07:23:47,"262 Andrea Island, São Paulo"
f2fda6ae-9d67-4ee8-a016-ac824595e451,Monitor,4,3745.22,2025-01-11 14:06:45,"35791 Moore Centers Suite 567, Porto Alegre"
3b667e66-e9e4-4547-882b-73f3b3439a0a,Teclado,5,4903.53,2025-01-29 10:34:51,"907 Denise Rapid, Rio de Janeiro"
